,artist,album
3255,Ana Moura,Desfado
3257,Panda e Os Caricas,Panda e Os Caricas
3258,Paulo Gonzo,Só gestos - Edição especial
3266,António Zambujo,Quinto
3267,Carminho,Alma
3269,Paulo Gonzo,Duetos
3270,Pedro Abrunhosa,Contramão
3272,Ana Moura,Desfado
3273,Tony Carreira,25 anos
3277,António Zambujo,Lisboa 22:38 - Ao vivo no Coliseu
3278,Carminho,Alma
3281,António Zambujo,Quinto
3284,D.A.M.A.,Uma questão de princípio
3289,António Zambujo,Rua da Emenda
3291,Mariza,Best Of Mariza
3294,Tony Carreira,Sempre
3295,Ana Moura,Desfado
3296,Carminho,Canto
3300,Ana Moura,Moura
3302,Deolinda,Outras histórias
3307,D.A.M.A.,Dá-me um segundo
3308,Ana Moura,Desfado
3309,Mariza,Mundo
3312,Mariza,Best Of Mariza
3313,António Zambujo,Rua da Emenda
3317,D.A.M.A.,Uma questão de princípio
3319,Tony Carreira,Sempre mais
3321,Paulo Gonzo,Diz-me
3324,Carminho,Carminho canta Tom Jobim
3325,Ana Moura,Moura
3328,Ana Moura,Desfado
3329,António Zambujo,Até pensei que fosse minha
3330,Mariza,Mundo
3331,Panda e Os Caricas,Panda e Os Caricas 3
3332,António Zambujo,Rua da Emenda
3333,D.A.M.A.,Dá-me um segundo
3334,Mariza,Best Of Mariza
3340,D.A.M.A.,Lado a lado
3342,Ana Moura,Best Of
3343,Mariza,Best Of Mariza
3350,Carminho,Carminho canta Tom Jobim
3352,Panda e Os Caricas,Panda e Os Caricas 4
3353,Ana Moura,Moura
3354,Mariza,Mundo
3355,Ana Moura,Desfado
3357,Mariza,Concerto em Lisboa
3362,Tony Carreira,As cançoes das nossas vidas
3363,António Zambujo,Do avesso
3364,Mariza,Best Of Mariza
3367,Pedro Abrunhosa,Espiritual
3371,Mariza,Mundo
3372,Mariza,Mariza [2018]
3374,Tony Carreira,Ao vivo no pavilhao atlantico
3380,Mariza,Fado curvo
3382,Tony Carreira,Vagabundo por amor
3391,Paulo Gonzo,Paulo Gonzo
3392,Mariza,Transparente
3398,Tony Carreira,A vida que eu escolhi
3400,Paulo Gonzo,Ao vivo no coliseu
3405,Mariza,Concerto em Lisboa
3408,Mariza,Fado em mim
3414,Paulo Gonzo,Perfil
3416,Mariza,Concerto em Lisboa
3417,Ana Moura,Para além da saudade
3420,Tony Carreira,A vida que eu escolhi
3427,Tony Carreira,O homem que sou
3431,Deolinda,Canção ao lado
3432,Mariza,Terra
3436,Tony Carreira,Dois coracoes sozinhos
3442,Deolinda,Canção ao lado
3448,Ana Moura,Leva-me aos fados
3449,Tony Carreira,O homem que sou
3455,Carminho,Fado
3456,Mariza,Terra
3457,Paulo Gonzo,Perfil
3462,Tony Carreira,O mesmo de sempre
3464,Mariza,Fado tradicional
3466,Deolinda,Canção ao lado
3469,Pedro Abrunhosa,Longe
3470,Deolinda,Dois selos e um carimbo
3472,Ana Moura,Leva-me aos fados
3473,Carminho,Alma
3474,António Zambujo,Quinto
3484,Tony Carreira,Best Of - 20 anos de canções - Vol. 2
3490,Tony Carreira,Essencial
3492,Deolinda,Mundo pequenino
3493,Ana Moura,Desfado
3494,Panda e Os Caricas,Panda e Os Caricas
3496,Paulo Gonzo,Só gestos - Edição especial
3499,Carminho,Alma
3502,António Zambujo,Quinto
3506,Mariza,Concerto em Lisboa
3507,Mariza,Best Of Mariza
3508,Paulo Gonzo,Duetos
3509,Pedro Abrunhosa,Contramão
3510,Ana Moura,Desfado
3511,Tony Carreira,25 anos
3515,António Zambujo,Lisboa 22:38 - Ao vivo no Coliseu
3517,António Zambujo,Quinto
3521,Carminho,Alma
3525,D.A.M.A.,Uma questão de princípio
3530,Mariza,Best Of Mariza
3531,António Zambujo,Rua da Emenda
3536,Ana Moura,Desfado
3538,Tony Carreira,Sempre
3541,Carminho,Canto
3544,Ana Moura,Moura
3545,Deolinda,Outras histórias
3550,D.A.M.A.,Dá-me um segundo
3551,Mariza,Mundo
3554,Mariza,Best Of Mariza
3556,Ana Moura,Desfado
3557,António Zambujo,Rua da Emenda
3559,Panda e Os Caricas,Panda e Os Caricas 3
3562,Tony Carreira,Sempre mais
3566,Paulo Gonzo,Diz-me
3568,Ana Moura,Desfado
3569,Ana Moura,Moura
3570,Mariza,Concerto em Lisboa
3571,Carminho,Carminho canta Tom Jobim
3573,António Zambujo,Até pensei que fosse minha
3575,Panda e Os Caricas,Panda e Os Caricas 3
3579,António Zambujo,Rua da Emenda
3582,Mariza,Best Of Mariza
3588,Mariza,Best Of Mariza
3589,D.A.M.A.,Lado a lado
3593,Ana Moura,Best Of
3595,Ana Moura,Desfado
3596,Ana Moura,Moura
3599,Carminho,Carminho canta Tom Jobim
3608,Mariza,Best Of Mariza
3609,Mariza,Mariza [2018]
3611,António Zambujo,Do avesso
3615,Panda e Os Caricas,Panda e Os Caricas
3618,Tony Carreira,Ao vivo no pavilhao atlantico
3628,Tony Carreira,Vagabundo por amor
3637,Mariza,Transparente
3638,Paulo Gonzo,Paulo Gonzo
3643,Tony Carreira,Ao vivo no Coliseu
3648,Paulo Gonzo,Ao vivo no coliseu
3649,Tony Carreira,A vida que eu escolhi
3654,Mariza,Concerto em Lisboa
3657,Mariza,Fado em mim
3661,Mariza,Concerto em Lisboa
3662,Ana Moura,Para além da saudade
3663,Tony Carreira,A vida que eu escolhi
3664,Paulo Gonzo,Perfil
3672,Pedro Abrunhosa,Luz
3677,Tony Carreira,O homem que sou
3679,Deolinda,Canção ao lado
3680,Mariza,Terra
3682,Ana Moura,Para além da saudade
3684,Pedro Abrunhosa,Longe
3687,Deolinda,Canção ao lado
3694,Tony Carreira,O homem que sou
3695,Ana Moura,Leva-me aos fados
3701,Paulo Gonzo,Perfil
3707,Tony Carreira,O mesmo de sempre
3708,Ana Moura,Ana Moura
3709,Pedro Abrunhosa,Longe
3710,Mariza,Fado tradicional
3712,Deolinda,Canção ao lado
3713,Ana Moura,Leva-me aos fados
3715,Deolinda,Dois selos e um carimbo
3718,Carminho,Alma
3720,António Zambujo,Quinto
3725,Tony Carreira,Best Of - 20 anos de canções - Vol. 2
3732,Tony Carreira,Essencial
3734,Ana Moura,Desfado
3735,Deolinda,Mundo pequenino
3736,Panda e Os Caricas,Panda e Os Caricas
3740,Paulo Gonzo,Só gestos - Edição especial
3741,António Zambujo,Quinto
3742,Carminho,Alma
3746,Mariza,Best Of Mariza
3748,Tony Carreira,25 anos
3749,Paulo Gonzo,Duetos
3750,Pedro Abrunhosa,Contramão
3751,Ana Moura,Desfado
3753,António Zambujo,Lisboa 22:38 - Ao vivo no Coliseu
3760,António Zambujo,Quinto
3762,Carminho,Alma
3765,D.A.M.A.,Uma questão de princípio
3766,António Zambujo,Rua da Emenda
3767,Mariza,Best Of Mariza
3773,Tony Carreira,Sempre
3774,Ana Moura,Desfado
3781,Carminho,Canto
3782,Ana Moura,Moura
3787,Deolinda,Outras histórias
3789,Ana Moura,Desfado
3791,D.A.M.A.,Dá-me um segundo
3792,Mariza,Mundo
3793,Mariza,Best Of Mariza
3794,António Zambujo,Rua da Emenda
3799,D.A.M.A.,Uma questão de princípio
3801,Tony Carreira,Sempre mais
3803,Paulo Gonzo,Diz-me
3805,Ana Moura,Moura
3806,Ana Moura,Desfado
3809,António Zambujo,Até pensei que fosse minha
3810,Mariza,Concerto em Lisboa
3811,Panda e Os Caricas,Panda e Os Caricas 3
3813,Mariza,Mundo
3815,Carminho,Carminho canta Tom Jobim
3817,Mariza,Best Of Mariza
3823,Mariza,Best Of Mariza
3825,D.A.M.A.,Lado a lado
3829,Ana Moura,Desfado
3830,Ana Moura,Best Of
3838,Mariza,Best Of Mariza
3841,Mariza,Mariza [2018]
3842,Tony Carreira,As cançoes das nossas vidas
3846,António Zambujo,Do avesso
3848,Panda e Os Caricas,A volta ao mundo
3849,Pedro Abrunhosa,Espiritual
3850,Panda e Os Caricas,Panda e Os Caricas
3857,Tony Carreira,Ao vivo no pavilhao atlantico
3859,Mariza,Transparente
3862,Tony Carreira,Vagabundo por amor
3866,Mariza,Fado curvo
3874,Paulo Gonzo,Paulo Gonzo
3875,Tony Carreira,Ao vivo no Coliseu
3877,Mariza,Transparente
3884,Paulo Gonzo,Ao vivo no coliseu
3885,Tony Carreira,A vida que eu escolhi
3888,Mariza,Concerto em Lisboa
3890,Mariza,Fado em mim
3896,Mariza,Concerto em Lisboa
3900,Tony Carreira,A vida que eu escolhi
3905,Ana Moura,Para além da saudade
3906,Deolinda,Canção ao lado
3907,Paulo Gonzo,Perfil
3916,Deolinda,Canção ao lado
3917,Tony Carreira,O homem que sou
3919,Mariza,Terra
3924,Pedro Abrunhosa,Longe
3928,Deolinda,Canção ao lado
3934,Tony Carreira,O homem que sou
3940,Ana Moura,Leva-me aos fados
3947,Tony Carreira,O mesmo de sempre
3948,Ana Moura,Ana Moura
3952,Deolinda,Canção ao lado
3953,Mariza,Fado tradicional
3954,Pedro Abrunhosa,Longe
3956,Deolinda,Dois selos e um carimbo
3957,Ana Moura,Leva-me aos fados
3961,António Zambujo,Quinto
3962,Carminho,Alma
3968,Carminho,Fado
3972,Tony Carreira,Essencial
3974,Deolinda,Mundo pequenino
3976,Ana Moura,Desfado
3977,Panda e Os Caricas,Panda e Os Caricas
3981,Carminho,Alma
3983,Paulo Gonzo,Só gestos - Edição especial
3988,António Zambujo,Quinto
3990,Mariza,Best Of Mariza
3991,Tony Carreira,25 anos
3993,Paulo Gonzo,Duetos
3995,Pedro Abrunhosa,Contramão
3996,Ana Moura,Desfado
3997,António Zambujo,Lisboa 22:38 - Ao vivo no Coliseu
4005,António Zambujo,Quinto
4006,Carminho,Alma
4010,D.A.M.A.,Uma questão de princípio
4012,António Zambujo,Rua da Emenda
4013,Tony Carreira,Sempre
4014,Mariza,Best Of Mariza
4019,Ana Moura,Desfado
4021,Carminho,Canto
4024,António Zambujo,Quinto
4025,Tony Carreira,25 anos
4027,Ana Moura,Moura
4030,Mariza,Mundo
4033,Deolinda,Outras histórias
4035,António Zambujo,Rua da Emenda
4036,Ana Moura,Desfado
4037,Mariza,Best Of Mariza
4039,D.A.M.A.,Dá-me um segundo
4042,Tony Carreira,Sempre mais
4045,Paulo Gonzo,Diz-me
4047,Ana Moura,Moura
4049,Carminho,Carminho canta Tom Jobim
4051,Ana Moura,Desfado
4052,António Zambujo,Até pensei que fosse minha
4053,Mariza,Best Of Mariza
4055,Mariza,Concerto em Lisboa
4056,António Zambujo,Rua da Emenda
4057,Panda e Os Caricas,Panda e Os Caricas 3
4064,D.A.M.A.,Lado a lado
4065,Mariza,Best Of Mariza
4070,Ana Moura,Desfado
4071,Mariza,Concerto em Lisboa
4073,Ana Moura,Best Of
4075,Ana Moura,Moura
4078,Mariza,Mundo
4084,Mariza,Best Of Mariza
4086,Mariza,Mariza [2018]
4091,Pedro Abrunhosa,Espiritual
4092,António Zambujo,Do avesso
4094,Tony Carreira,As cançoes das nossas vidas
4100,Tony Carreira,Ao vivo no pavilhao atlantico
4101,Mariza,Transparente
4104,Tony Carreira,Vagabundo por amor
4107,Mariza,Fado curvo
4117,Paulo Gonzo,Paulo Gonzo
4118,Tony Carreira,Ao vivo no Coliseu
4120,Mariza,Transparente
4125,Tony Carreira,A vida que eu escolhi
4127,Paulo Gonzo,Ao vivo no coliseu
4128,Mariza,Concerto em Lisboa
4131,Mariza,Fado em mim
4136,Tony Carreira,A vida que eu escolhi
4137,Mariza,Concerto em Lisboa
4144,Deolinda,Canção ao lado
4145,Ana Moura,Para além da saudade
4147,Paulo Gonzo,Perfil
4152,Tony Carreira,O homem que sou
4155,Deolinda,Canção ao lado
4158,Mariza,Terra
4162,Paulo Gonzo,Perfil
4163,Deolinda,Dois selos e um carimbo
4164,Pedro Abrunhosa,Longe
4166,Deolinda,Canção ao lado
4175,Tony Carreira,O homem que sou
4176,Mariza,Concerto em Lisboa
4178,Ana Moura,Leva-me aos fados
4186,Tony Carreira,O mesmo de sempre
4188,Deolinda,Canção ao lado
4189,Ana Moura,Ana Moura
4190,Pedro Abrunhosa,Longe
4191,Mariza,Fado tradicional
4194,Deolinda,Dois selos e um carimbo
4196,Ana Moura,Leva-me aos fados
4199,Carminho,Alma
4201,António Zambujo,Quinto
4203,Tony Carreira,Best Of - 20 anos de canções - Vol. 2
4210,Tony Carreira,O mesmo de sempre
4212,Carminho,Fado
4213,Tony Carreira,Essencial
4215,Deolinda,Mundo pequenino
4216,Ana Moura,Desfado
4221,Panda e Os Caricas,Panda e Os Caricas
4230,Mariza,Concerto em Lisboa
4231,Paulo Gonzo,Só gestos - Edição especial
4232,Mariza,Best Of Mariza
4233,Tony Carreira,25 anos
4234,Paulo Gonzo,Duetos
4235,Ana Moura,Desfado
4237,Pedro Abrunhosa,Contramão
4239,António Zambujo,Lisboa 22:38 - Ao vivo no Coliseu
4243,António Zambujo,Quinto
4252,D.A.M.A.,Uma questão de princípio
4254,António Zambujo,Rua da Emenda
4257,Mariza,Best Of Mariza
4259,Tony Carreira,Sempre
4261,Ana Moura,Desfado
4271,Ana Moura,Moura
4272,Mariza,Mundo
4276,Deolinda,Outras histórias
4278,Mariza,Best Of Mariza
4281,Ana Moura,Desfado
4282,D.A.M.A.,Dá-me um segundo
4284,António Zambujo,Rua da Emenda
4287,Tony Carreira,Sempre mais
4290,Paulo Gonzo,Diz-me
4291,Ana Moura,Moura
4293,Carminho,Carminho canta Tom Jobim
4294,Ana Moura,Desfado
4295,António Zambujo,Até pensei que fosse minha
4298,Mariza,Concerto em Lisboa
4299,António Zambujo,Rua da Emenda
4300,Mariza,Mundo
4302,Panda e Os Caricas,Panda e Os Caricas 3
4310,Mariza,Best Of Mariza
4312,Ana Moura,Best Of
4316,D.A.M.A.,Lado a lado
4319,Mariza,Concerto em Lisboa
4322,Ana Moura,Desfado
4330,Tony Carreira,As cançoes das nossas vidas
4332,Pedro Abrunhosa,Espiritual
4333,Mariza,Mariza [2018]
4334,Mariza,Best Of Mariza
4335,Carminho,Maria
4339,António Zambujo,Do avesso
4346,Tony Carreira,Ao vivo no pavilhao atlantico
4348,Mariza,Transparente
4355,Tony Carreira,Vagabundo por amor
4357,Mariza,Fado curvo
4362,Paulo Gonzo,Paulo Gonzo
4363,Tony Carreira,Ao vivo no Coliseu
4368,Mariza,Transparente
4371,Tony Carreira,A vida que eu escolhi
4374,Paulo Gonzo,Ao vivo no coliseu
4377,Mariza,Concerto em Lisboa
4385,Mariza,Concerto em Lisboa
4392,Tony Carreira,A vida que eu escolhi
4394,Ana Moura,Para além da saudade
4395,Deolinda,Canção ao lado
4396,Paulo Gonzo,Perfil
4401,Tony Carreira,O homem que sou
4402,Deolinda,Canção ao lado
4407,Mariza,Terra
4416,Deolinda,Dois selos e um carimbo
4418,Pedro Abrunhosa,Longe
4419,Deolinda,Canção ao lado
4426,Ana Moura,Leva-me aos fados
4439,Pedro Abrunhosa,Longe
4440,Tony Carreira,O mesmo de sempre
4441,Mariza,Fado tradicional
4443,Deolinda,Canção ao lado
4444,Deolinda,Dois selos e um carimbo
4446,Ana Moura,Ana Moura
4447,Ana Moura,Leva-me aos fados
4451,Carminho,Alma
4452,António Zambujo,Quinto
4460,Tony Carreira,Best Of - 20 anos de canções - Vol. 2
4464,Tony Carreira,Essencial
4465,Ana Moura,Desfado
4467,Deolinda,Mundo pequenino
4470,Panda e Os Caricas,Panda e Os Caricas
4479,Carminho,Alma
4482,Ana Moura,Desfado
4483,Mariza,Best Of Mariza
4485,Tony Carreira,25 anos
4486,Paulo Gonzo,Duetos
4487,Pedro Abrunhosa,Contramão
4491,António Zambujo,Lisboa 22:38 - Ao vivo no Coliseu
4494,António Zambujo,Quinto
4502,D.A.M.A.,Uma questão de princípio
4503,Tony Carreira,Sempre
4504,António Zambujo,Rua da Emenda
4506,Mariza,Best Of Mariza
4509,Ana Moura,Desfado
4516,Carminho,Canto
4521,Ana Moura,Moura
4525,Mariza,Mundo
4527,D.A.M.A.,Dá-me um segundo
4528,Deolinda,Outras histórias
4530,Ana Moura,Desfado
4531,António Zambujo,Rua da Emenda
4533,Mariza,Best Of Mariza
4537,D.A.M.A.,Uma questão de princípio
4541,Tony Carreira,Sempre mais
4543,Carminho,Carminho canta Tom Jobim
4544,Paulo Gonzo,Diz-me
4546,António Zambujo,Até pensei que fosse minha
4547,Ana Moura,Moura
4549,Ana Moura,Desfado
4550,Mariza,Best Of Mariza
4551,Mariza,Mundo
4552,António Zambujo,Rua da Emenda
4553,Panda e Os Caricas,Panda e Os Caricas 3
4554,Mariza,Concerto em Lisboa
4562,Ana Moura,Best Of
4563,Mariza,Concerto em Lisboa
4564,Mariza,Best Of Mariza
4566,Ana Moura,Desfado
4567,D.A.M.A.,Lado a lado
4571,Mariza,Mundo
4572,Ana Moura,Moura
4574,Carminho,Canto
4577,Carminho,Carminho canta Tom Jobim
4584,Mariza,Mariza [2018]
4588,Tony Carreira,As cançoes das nossas vidas
4589,Carminho,Maria
4590,António Zambujo,Do avesso
4591,Mariza,Best Of Mariza
4596,Tony Carreira,Ao vivo no pavilhao atlantico
4600,Mariza,Transparente
4607,Tony Carreira,Vagabundo por amor
4608,Mariza,Fado curvo
4613,Paulo Gonzo,Paulo Gonzo
4615,Tony Carreira,Ao vivo no Coliseu
4618,Mariza,Transparente
4624,Tony Carreira,A vida que eu escolhi
4625,Paulo Gonzo,Ao vivo no coliseu
4627,Ana Moura,Para além da saudade
4632,Mariza,Concerto em Lisboa
4637,Mariza,Concerto em Lisboa
4643,Ana Moura,Para além da saudade
4646,Tony Carreira,A vida que eu escolhi
4654,Deolinda,Canção ao lado
4656,Tony Carreira,O homem que sou
4659,Mariza,Terra
4663,Deolinda,Dois selos e um carimbo
4665,Pedro Abrunhosa,Longe
4666,Deolinda,Canção ao lado
4667,Ana Moura,Leva-me aos fados
4674,Paulo Gonzo,Perfil
4683,Tony Carreira,O mesmo de sempre
4686,Pedro Abrunhosa,Longe
4688,Mariza,Fado tradicional
4689,Deolinda,Canção ao lado
4691,Ana Moura,Leva-me aos fados
4692,Deolinda,Dois selos e um carimbo
4693,Ana Moura,Ana Moura
4698,Carminho,Alma
4699,António Zambujo,Quinto
4700,António Zambujo,Quinto
4704,Tony Carreira,Best Of - 20 anos de canções - Vol. 2
4708,Ana Moura,Desfado
4710,Tony Carreira,Essencial
4711,Deolinda,Mundo pequenino
4712,Panda e Os Caricas,Panda e Os Caricas
4721,Carminho,Alma
4724,Mariza,Best Of Mariza
4725,Pedro Abrunhosa,Contramão
4727,Tony Carreira,25 anos
4728,Paulo Gonzo,Duetos
4730,Ana Moura,Desfado
4733,António Zambujo,Lisboa 22:38 - Ao vivo no Coliseu
4735,António Zambujo,Quinto
4742,D.A.M.A.,Uma questão de princípio
4744,Tony Carreira,Sempre
4745,António Zambujo,Rua da Emenda
4746,Mariza,Best Of Mariza
4748,Ana Moura,Desfado
4754,Carminho,Canto
4757,Ana Moura,Moura
4760,Mariza,Mundo
4762,D.A.M.A.,Dá-me um segundo
4763,Ana Moura,Desfado
4764,Deolinda,Outras histórias
4765,António Zambujo,Rua da Emenda
4766,Mariza,Best Of Mariza
4769,D.A.M.A.,Uma questão de princípio
4779,Tony Carreira,Sempre mais
4781,Ana Moura,Desfado
4783,Ana Moura,Moura
4784,Carminho,Carminho canta Tom Jobim
4785,Paulo Gonzo,Diz-me
4786,Mariza,Concerto em Lisboa
4788,Panda e Os Caricas,Panda e Os Caricas 3
4789,António Zambujo,Até pensei que fosse minha
4790,Mariza,Best Of Mariza
4792,Mariza,Mundo
4793,António Zambujo,Rua da Emenda
4800,Mariza,Best Of Mariza
4801,Ana Moura,Desfado
4802,Mariza,Concerto em Lisboa
4803,D.A.M.A.,Lado a lado
4805,Ana Moura,Best Of
4809,Mariza,Fado em mim
4811,Ana Moura,Moura
4819,Mariza,Mariza [2018]
4820,Mariza,Best Of Mariza
4821,Carminho,Maria
4824,Tony Carreira,As cançoes das nossas vidas
4825,Panda e Os Caricas,Panda e Os Caricas
4826,António Zambujo,Do avesso
4836,Tony Carreira,Ao vivo no pavilhao atlantico
4840,Mariza,Transparente
4844,Mariza,Fado curvo
4846,Tony Carreira,Vagabundo por amor
4851,Paulo Gonzo,Paulo Gonzo
4852,Tony Carreira,Ao vivo no Coliseu
4856,Mariza,Transparente
4866,Mariza,Concerto em Lisboa
4871,Ana Moura,Para além da saudade
4872,Tony Carreira,A vida que eu escolhi
4880,Deolinda,Canção ao lado
4882,Tony Carreira,O homem que sou
4883,Mariza,Terra
4889,Paulo Gonzo,Perfil
4893,Deolinda,Dois selos e um carimbo
4895,Pedro Abrunhosa,Longe
4897,Deolinda,Canção ao lado
4902,Ana Moura,Leva-me aos fados
4905,Mariza,Terra
4907,Tony Carreira,O homem que sou
4911,Tony Carreira,O mesmo de sempre
4916,Pedro Abrunhosa,Longe
4919,Deolinda,Canção ao lado
4921,Mariza,Fado tradicional
4922,Ana Moura,Leva-me aos fados
4925,Ana Moura,Ana Moura
4926,Deolinda,Dois selos e um carimbo
4931,António Zambujo,Quinto
4932,Carminho,Alma
4934,António Zambujo,Quinto
4938,Tony Carreira,Best Of - 20 anos de canções - Vol. 2
4939,Ana Moura,Desfado
4940,Panda e Os Caricas,Panda e Os Caricas
4941,Tony Carreira,Essencial
4942,Deolinda,Mundo pequenino
4948,Carminho,Alma
4949,Mariza,Best Of Mariza
4953,Tony Carreira,25 anos
4954,Panda e Os Caricas,Panda e Os Caricas 2
4956,Pedro Abrunhosa,Contramão
4957,Paulo Gonzo,Duetos
4959,Ana Moura,Desfado
4961,António Zambujo,Lisboa 22:38 - Ao vivo no Coliseu
4963,D.A.M.A.,Uma questão de princípio
4965,Tony Carreira,Sempre
4966,António Zambujo,Rua da Emenda
4969,Mariza,Best Of Mariza
4970,Carminho,Canto
4971,Ana Moura,Desfado
4980,D.A.M.A.,Dá-me um segundo
4981,Ana Moura,Moura
4984,Mariza,Mundo
4986,D.A.M.A.,Uma questão de princípio
4987,Deolinda,Outras histórias
4988,Ana Moura,Desfado
4991,Panda e Os Caricas,Panda e Os Caricas 3
4993,António Zambujo,Rua da Emenda
5002,Tony Carreira,Sempre mais
5003,Ana Moura,Desfado
5004,Carminho,Carminho canta Tom Jobim
5007,António Zambujo,Até pensei que fosse minha
5008,António Zambujo,Rua da Emenda
5010,Paulo Gonzo,Diz-me
5011,Ana Moura,Moura
5012,Mariza,Best Of Mariza
5013,Mariza,Mariza [2018]
5020,Mariza,Fado em mim
5022,Ana Moura,Best Of
5024,D.A.M.A.,Lado a lado
5025,Mariza,Concerto em Lisboa
5026,Ana Moura,Desfado
5029,Mariza,Best Of Mariza
5035,Mariza,Mariza [2018]
5036,Mariza,Best Of Mariza
5039,Panda e Os Caricas,Panda e Os Caricas
5041,Carminho,Maria
5051,Tony Carreira,Ao vivo no pavilhao atlantico
5056,Mariza,Transparente
5062,Tony Carreira,Vagabundo por amor
5063,Mariza,Fado curvo
5067,Paulo Gonzo,Paulo Gonzo
5068,Tony Carreira,Ao vivo no Coliseu
5071,Mariza,Transparente
5080,Tony Carreira,A vida que eu escolhi
5081,Mariza,Concerto em Lisboa
5082,Ana Moura,Para além da saudade
5085,Paulo Gonzo,Ao vivo no coliseu
5087,Mariza,Fado em mim
5095,Mariza,Concerto em Lisboa
5100,Ana Moura,Para além da saudade
5102,Tony Carreira,A vida que eu escolhi
5104,Deolinda,Canção ao lado
5107,Tony Carreira,O homem que sou
5109,Deolinda,Canção ao lado
5114,Mariza,Terra
5120,Deolinda,Dois selos e um carimbo
5121,Pedro Abrunhosa,Longe
5124,Deolinda,Canção ao lado
5127,Ana Moura,Leva-me aos fados
5130,Mariza,Terra
5136,Tony Carreira,O mesmo de sempre
5139,Deolinda,Canção ao lado
5140,Pedro Abrunhosa,Longe
5144,Deolinda,Dois selos e um carimbo
5146,Ana Moura,Leva-me aos fados
5149,Mariza,Fado tradicional
5150,Carminho,Fado
5155,Carminho,Alma
5157,Panda e Os Caricas,Panda e Os Caricas
5161,António Zambujo,Quinto
5165,Ana Moura,Desfado
5166,Tony Carreira,Essencial
5167,Panda e Os Caricas,Panda e Os Caricas
5168,Deolinda,Mundo pequenino
5173,Carminho,Alma
5176,Mariza,Best Of Mariza
5178,Panda e Os Caricas,Panda e Os Caricas 2
5179,Paulo Gonzo,Duetos
5181,Ana Moura,Desfado
5182,Pedro Abrunhosa,Contramão
5183,Tony Carreira,25 anos
5189,António Zambujo,Lisboa 22:38 - Ao vivo no Coliseu
5190,D.A.M.A.,Uma questão de princípio
5192,António Zambujo,Rua da Emenda
5193,Tony Carreira,Sempre
5194,Ana Moura,Desfado
5195,Mariza,Best Of Mariza
5200,Carminho,Canto
5201,António Zambujo,Quinto
5206,Mariza,Mundo
5207,Ana Moura,Moura
5208,D.A.M.A.,Dá-me um segundo
5210,Deolinda,Outras histórias
5212,Ana Moura,Desfado
5214,D.A.M.A.,Uma questão de princípio
5215,António Zambujo,Rua da Emenda
5216,Panda e Os Caricas,Panda e Os Caricas 3
5224,Ana Moura,Desfado
5225,Tony Carreira,Sempre mais
5227,Ana Moura,Moura
5229,Carminho,Carminho canta Tom Jobim
5230,Paulo Gonzo,Diz-me
5231,António Zambujo,Até pensei que fosse minha
5233,Mariza,Best Of Mariza
5234,António Zambujo,Rua da Emenda
5235,Mariza,Concerto em Lisboa
5236,Mariza,Mariza [2018]
5245,Mariza,Fado em mim
5246,Ana Moura,Best Of
5247,D.A.M.A.,Lado a lado
5250,Mariza,Mundo
5251,Carminho,Canto
5264,Mariza,Best Of Mariza
5268,Mariza,Mariza [2018]
5276,Tony Carreira,Ao vivo no pavilhao atlantico
5282,Mariza,Transparente
5287,Mariza,Fado curvo
5289,Tony Carreira,Vagabundo por amor
5292,Paulo Gonzo,Paulo Gonzo
5293,Tony Carreira,Ao vivo no Coliseu
5297,Mariza,Transparente
5304,Ana Moura,Para além da saudade
5306,Mariza,Concerto em Lisboa
5312,Deolinda,Canção ao lado
5314,Carminho,Fado
5317,Tony Carreira,O homem que sou
5318,Deolinda,Canção ao lado
5324,Mariza,Terra
5330,Deolinda,Dois selos e um carimbo
5335,Pedro Abrunhosa,Longe
5337,Deolinda,Canção ao lado
5346,Tony Carreira,O mesmo de sempre
5349,Deolinda,Dois selos e um carimbo
5350,Deolinda,Canção ao lado
5352,Pedro Abrunhosa,Longe
5355,Ana Moura,Leva-me aos fados
5356,Mariza,Fado tradicional
5365,Carminho,Alma
5367,Panda e Os Caricas,Panda e Os Caricas
5369,António Zambujo,Quinto
5373,Ana Moura,Desfado
5374,Tony Carreira,Essencial
5375,Panda e Os Caricas,Panda e Os Caricas
5376,Deolinda,Mundo pequenino
5379,Carminho,Alma
5384,Mariza,Best Of Mariza
5386,Panda e Os Caricas,Panda e Os Caricas 2
5387,Paulo Gonzo,Duetos
5388,Pedro Abrunhosa,Contramão
5390,Ana Moura,Desfado
5391,Tony Carreira,25 anos
5399,D.A.M.A.,Uma questão de princípio
5400,António Zambujo,Rua da Emenda
5401,Carminho,Canto
5403,Tony Carreira,Sempre
5405,Ana Moura,Desfado
5406,Mariza,Best Of Mariza
5409,António Zambujo,Quinto
5410,Carminho,Alma
5416,Ana Moura,Moura
5417,Mariza,Mundo
5419,D.A.M.A.,Dá-me um segundo
5421,Ana Moura,Desfado
5422,António Zambujo,Rua da Emenda
5423,D.A.M.A.,Uma questão de princípio
5424,Deolinda,Outras histórias
5425,Mariza,Best Of Mariza
5435,Tony Carreira,Sempre mais
5436,Ana Moura,Desfado
5437,António Zambujo,Até pensei que fosse minha
5438,Mariza,Best Of Mariza
5439,Ana Moura,Moura
5440,Carminho,Carminho canta Tom Jobim
5441,António Zambujo,Rua da Emenda
5442,Mariza,Concerto em Lisboa
5444,Mariza,Mariza [2018]
