,artist,album
1905,Mariza,Concerto em Lisboa
1907,Paulo Gonzo,Paulo Gonzo
1912,Paulo Gonzo,Perfil
1913,Mariza,Concerto em Lisboa
1916,Ana Moura,Para além da saudade
1921,Mariza,Fado em mim
1922,Tony Carreira,A vida que eu escolhi
1926,Tony Carreira,O homem que sou
1931,Deolinda,Canção ao lado
1932,Mariza,Terra
1934,Ana Moura,Para além da saudade
1937,Paulo Gonzo,Perfil
1943,Ana Moura,Leva-me aos fados
1945,Carminho,Fado
1946,Tony Carreira,O homem que sou
1947,Mariza,Terra
1949,Deolinda,Canção ao lado
1952,Tony Carreira,O mesmo de sempre
1953,Deolinda,Dois selos e um carimbo
1954,Pedro Abrunhosa,Longe
1955,Deolinda,Canção ao lado
1956,Mariza,Fado tradicional
1968,Deolinda,Canção ao lado
1970,Tony Carreira,Best Of - 20 anos de canções - Vol. 2
1979,Tony Carreira,Essencial
1981,Ana Moura,Desfado
1982,Panda e Os Caricas,Panda e Os Caricas
1986,Carminho,Alma
1987,António Zambujo,Quinto
1994,Paulo Gonzo,Duetos
1995,Pedro Abrunhosa,Contramão
1996,Tony Carreira,25 anos
1998,Ana Moura,Desfado
2000,António Zambujo,Lisboa 22:38 - Ao vivo no Coliseu
2005,António Zambujo,Quinto
2007,Panda e Os Caricas,Panda e Os Caricas
2008,D.A.M.A.,Uma questão de princípio
2009,Tony Carreira,Sempre
2012,Mariza,Best Of Mariza
2013,António Zambujo,Rua da Emenda
2015,Ana Moura,Desfado
2017,Paulo Gonzo,Duetos
2019,Deolinda,Outras histórias
2020,Ana Moura,Moura
2021,D.A.M.A.,Dá-me um segundo
2023,Mariza,Mundo
2025,António Zambujo,Rua da Emenda
2028,Ana Moura,Desfado
2029,D.A.M.A.,Uma questão de princípio
2031,Mariza,Best Of Mariza
2035,António Zambujo,Quinto
2036,Tony Carreira,Sempre mais
2038,Ana Moura,Moura
2039,Carminho,Carminho canta Tom Jobim
2041,Panda e Os Caricas,Panda e Os Caricas 3
2042,António Zambujo,Até pensei que fosse minha
2044,D.A.M.A.,Dá-me um segundo
2045,António Zambujo,Rua da Emenda
2046,Ana Moura,Desfado
2047,Mariza,Mundo
2049,Mariza,Best Of Mariza
2061,D.A.M.A.,Lado a lado
2062,Ana Moura,Best Of
2066,Carminho,Carminho canta Tom Jobim
2069,Mariza,Concerto em Lisboa
2071,Ana Moura,Desfado
2073,António Zambujo,Do avesso
2074,Tony Carreira,As cançoes das nossas vidas
2075,Mariza,Mariza [2018]
2078,Pedro Abrunhosa,Espiritual
2079,Carminho,Maria
2081,Panda e Os Caricas,A volta ao mundo
2086,Tony Carreira,Ao vivo no pavilhao atlantico
2088,Pedro Abrunhosa,Palco
2089,Mariza,Fado curvo
2098,Tony Carreira,Vagabundo por amor
2101,Paulo Gonzo,Paulo Gonzo
2110,Tony Carreira,A vida que eu escolhi
2118,Mariza,Concerto em Lisboa
2125,Mariza,Concerto em Lisboa
2126,Ana Moura,Para além da saudade
2127,Paulo Gonzo,Perfil
2135,Tony Carreira,O homem que sou
2137,Deolinda,Canção ao lado
2141,Mariza,Terra
2146,Paulo Gonzo,Perfil
2151,Ana Moura,Leva-me aos fados
2155,Mariza,Terra
2156,Deolinda,Canção ao lado
2157,Tony Carreira,O homem que sou
2161,Tony Carreira,O mesmo de sempre
2162,Deolinda,Dois selos e um carimbo
2163,Pedro Abrunhosa,Longe
2164,Deolinda,Canção ao lado
2165,Mariza,Fado tradicional
2170,Ana Moura,Leva-me aos fados
2179,Tony Carreira,Best Of - 20 anos de canções - Vol. 2
2187,Tony Carreira,Essencial
2188,Ana Moura,Desfado
2189,Panda e Os Caricas,Panda e Os Caricas
2196,Carminho,Alma
2197,António Zambujo,Quinto
2203,Paulo Gonzo,Duetos
2204,Pedro Abrunhosa,Contramão
2206,Tony Carreira,25 anos
2208,Ana Moura,Desfado
2211,António Zambujo,Lisboa 22:38 - Ao vivo no Coliseu
2216,Tony Carreira,Essencial
2217,António Zambujo,Quinto
2219,D.A.M.A.,Uma questão de princípio
2220,Tony Carreira,Sempre
2222,António Zambujo,Rua da Emenda
2224,Mariza,Best Of Mariza
2228,Ana Moura,Desfado
2231,Carminho,Canto
2232,Deolinda,Outras histórias
2233,Ana Moura,Moura
2234,Mariza,Mundo
2238,D.A.M.A.,Dá-me um segundo
2241,Ana Moura,Desfado
